teamA;teamB;goalsA;goalsB;region
Wales;Belarus;5;1;Europe
Tschechien;Estland;2;0;Europe
Wales;Belgien;1;1;Europe
Israel;Dänemark;0;2;Europe
Moldau;Färöer;1;1;Europe
Schottland;Österreich;2;2;Europe
Dänemark;Moldau;8;0;Europe
Israel;Schottland;1;1;Europe
Österreich;Färöer;3;1;Europe
Moldau;Israel;1;4;Europe
Österreich;Dänemark;0;4;Europe
Schottland;Färöer;4;0;Europe
Dänemark;Schottland;2;0;Europe
Färöer;Israel;0;4;Europe
Moldau;Österreich;0;2;Europe
Färöer;Dänemark;0;1;Europe
Israel;Österreich;5;2;Europe
Schottland;Moldau;1;0;Europe
Dänemark;Israel;5;0;Europe
Färöer;Moldau;2;1;Europe
Österreich;Schottland;0;1;Europe
Schottland;Israel;3;2;Europe
Färöer;Österreich;0;2;Europe
Moldau;Dänemark;0;4;Europe
Dänemark;Österreich;1;0;Europe
Färöer;Schottland;0;1;Europe
Israel;Moldau;2;1;Europe
Moldau;Schottland;0;2;Europe
Dänemark;Färöer;3;1;Europe
Österreich;Israel;4;2;Europe
Israel;Färöer;3;2;Europe
Österreich;Moldau;4;1;Europe
Schottland;Dänemark;2;0;Europe
Türkei;Niederlande;4;2;Europe
Gibraltar;Norwegen;0;3;Europe
Lettland;Montenegro;1;2;Europe
Montenegro;Gibraltar;4;1;Europe
Niederlande;Lettland;2;0;Europe
Norwegen;Türkei;0;3;Europe
Gibraltar;Niederlande;0;7;Europe
Montenegro;Norwegen;0;1;Europe
Türkei;Lettland;3;3;Europe
Lettland;Gibraltar;3;1;Europe
Norwegen;Niederlande;1;1;Europe
Türkei;Montenegro;2;2;Europe
Lettland;Norwegen;0;2;Europe
Gibraltar;Türkei;0;3;Europe
Niederlande;Montenegro;4;0;Europe
Montenegro;Lettland;0;0;Europe
Niederlande;Türkei;6;1;Europe
Norwegen;Gibraltar;5;1;Europe
Gibraltar;Montenegro;0;3;Europe
Lettland;Niederlande;0;1;Europe
Türkei;Norwegen;1;1;Europe
Lettland;Türkei;1;2;Europe
Niederlande;Gibraltar;6;0;Europe
Norwegen;Montenegro;2;0;Europe
